Title,Author,Item Number,Checkedout Date
Say zoop!,"Tullet, Hervé.",i2261781a,08/15/2018
La Granja  [kit] ,,i2218063a,08/15/2018
José! : born to dance : the story of José Limón,"Reich, Susanna.",i2042813a,08/15/2018
,,i2187444a,08/14/2018
Horrible bosses [videorecording],,i1981327a,07/08/2018
Furious 7,,i2171694a,07/08/2018
Logan [DVD],,i2257460a,06/11/2018
Passengers,,i2240141a,06/11/2018
Rise of the planet of the apes [DVD],,i1984637a,06/11/2018
Red. 2 [DVD],,i2084017a,06/11/2018
Dexter. The sixth season [videorecording],,i2016264a,06/04/2018
Horrible bosses [videorecording],,i1981327a,06/04/2018
Indignation [DVD],,i2226857a,06/04/2018
The last black unicorn,"Haddish, Tiffany, 1979-",i2282340a,05/08/2018
Silicon Valley. The complete first season,,i2152374a,04/19/2018
Leaders eat last : why some teams pull together and others don't,"Sinek, Simon.",i2267661a,04/19/2018
Silicon Valley. The complete second season,,i2198196a,04/19/2018
"Ciphers, codes, algorithms, and keys","La Bella, Laura.",i2243874a,02/15/2018
"Ciphers, codes, algorithms, and keys","La Bella, Laura.",i2243874a,02/13/2018
"Ciphers, codes, algorithms, and keys","La Bella, Laura.",i2243874a,01/10/2018
"Ciphers, codes, algorithms, and keys","La Bella, Laura.",i2243874a,01/10/2018
"Ciphers, codes, algorithms, and keys","La Bella, Laura.",i2243874a,12/14/2017
"Ciphers, codes, algorithms, and keys","La Bella, Laura.",i2243874a,12/05/2017
"Ciphers, codes, algorithms, and keys","La Bella, Laura.",i2243874a,11/30/2017
"Ciphers, codes, algorithms, and keys","La Bella, Laura.",i2243874a,11/30/2017
"Ciphers, codes, algorithms, and keys","La Bella, Laura.",i2243874a,11/30/2017
El viajero del siglo,"Neuman, Andrés, 1977-",i2239720a,11/21/2017
El viajero del siglo,"Neuman, Andrés, 1977-",i2239720a,11/21/2017
,,i2239787a,11/07/2017
Radical hope : letters of love and dissent in dangerous times,,i2263506a,11/01/2017
Life of Pi [DVD],,i2047133a,07/03/2017
Chef [DVD],,i2119651a,07/03/2017
The campaign [videorecording],,i2036095a,07/03/2017
A good day to die hard [DVD],,i2232047a,07/03/2017
Bridge of spies [DVD],,i2192066a,07/03/2017
Life of Pi [DVD],,i2047133a,07/03/2017
,,i1653127a,07/03/2017
Everest [DVD],,i2187143a,06/26/2017
The accountant,,i2234008a,05/02/2017
,,i1653127a,04/27/2017
,,i2245377a,04/27/2017
Harry Potter and the cursed child. Parts one and two,"Rowling, J. K.",i2214490a,04/15/2017
,,i2239286a,04/15/2017
Los idilios salvajes,"Sheridan, Guillermo, 1950-",i2245172a,04/15/2017
,,i2245377a,04/15/2017
Los anos con Laura Diaz,"Fuentes, Carlos.",i2238681a,04/15/2017
Café society [DVD],,i2226156a,03/17/2017
Steve Jobs [DVD],,i2193332a,03/17/2017
13 hours : the secret soldiers of Benghazi,,i2205532a,03/17/2017
,,i1580804a,02/28/2017
The souls of Black folk,"Du Bois, W. E. B. (William Edward Burghardt), 1868-1963.",i2162626a,02/23/2017
On the blue shore of silence : poems of the sea = A la orilla azul del silencio,"Neruda, Pablo, 1904-1973.",i1803412a,02/14/2017
Independence day,,i2214814a,02/09/2017
No man's lands : one man's odyssey through The Odyssey,"Huler, Scott.",i1803416a,02/09/2017
Illustrated cabinetmaking : how to design and construct furniture that works,"Hylton, William H.",i1755109a,02/07/2017
Creed [DVD],,i2192178a,02/07/2017
The hateful eight,,i2195188a,02/07/2017
Eddie the Eagle,,i2207580a,02/07/2017
Trainwreck [DVD] : [unrated edition],,i2180443a,02/07/2017
Bad moms [DVD],,i2228807a,02/07/2017
Furious 7,,i2176784a,02/01/2017
Empire. The complete second season.,,i2220193a,01/27/2017
Bridget Jones's baby [DVD],,i2233341a,01/12/2017
"My brilliant friend : childhood, adolescence","Ferrante, Elena.",i2187028a,01/11/2017
The remains of the day,"Ishiguro, Kazuo, 1954-",i1503658a,01/11/2017
The remains of the day,"Ishiguro, Kazuo, 1954-",i1503658a,01/11/2017
The remains of the day,"Ishiguro, Kazuo, 1954-",i1503658a,01/11/2017
End of watch : a novel,"King, Stephen, 1947-",i2205411a,01/11/2017
"My brilliant friend : childhood, adolescence","Ferrante, Elena.",i2187028a,01/11/2017
The remains of the day,"Ishiguro, Kazuo, 1954-",i1503658a,01/11/2017
End of watch : a novel,"King, Stephen, 1947-",i2205411a,01/11/2017
,,i1905020a,01/05/2017
Sister Bernadette's barking dog : the quirky history and lost art of diagramming sentences,"Florey, Kitty Burns.",i1646542a,01/05/2017
,,i1877841a,12/21/2016
The magnificent seven (2016),,i2231138a,12/20/2016
Chess success : planning after the opening,"McDonald, Neil.",i1736206a,12/20/2016
You are a badass : how to stop doubting your greatness and start living an awesome life,"Sincero, Jen, 1965-",i2189254a,12/20/2016
,,i1530701a,12/20/2016
House beautiful : decorating with books : use your library to enhance your decor,"Proeller Hueston, Marie.",i1989034a,12/19/2016
Empire. The complete first season,,i2182478a,12/14/2016
Furious 7,,i2171687a,12/14/2016
The Martian,,i2187631a,12/02/2016
The End of the tour [DVD],,i2184733a,11/28/2016
The End of the tour [DVD],,i2184733a,11/17/2016
,,i1700023a,11/15/2016
,,i1905020a,11/10/2016
,,i1530701a,11/04/2016
,,i1769172a,11/04/2016
,,i1905020a,11/04/2016
Deadpool [DVD],,i2201253a,11/04/2016
Mountain biking Colorado's Front Range : a guide to the area's greatest off-road bicycle rides,"Hlawaty, Stephen.",i2132891a,11/03/2016
,,i1170545a,11/03/2016
Whiplash [DVD],,i2140345a,11/03/2016
Trainwreck [DVD] : [unrated edition],,i2180452a,11/03/2016
A history of architecture in 100 buildings,"Cruickshank, Dan.",i2186850a,10/31/2016
The $10 trillion prize : captivating the newly affluent in China and India,,i2045521a,10/31/2016
Fabricated : the new world of 3D printing,"Lipson, Hod.",i2074557a,10/31/2016
,,i2168355a,08/26/2016
,,i1796146a,08/26/2016
Homeland. The complete third season [DVD],,i2116378a,08/26/2016
22 Jump Street [DVD],,i2122531a,08/26/2016
The master [DVD],,i2041839a,08/26/2016
Dear white people,,i2130891a,08/26/2016
Life of Pi [DVD],,i2041104a,08/26/2016
Captain Phillips [DVD],,i2081863a,08/26/2016
Draft day,,i2120263a,08/26/2016
Between the world and me,"Coates, Ta-Nehisi.",i2162733a,07/28/2016
Danny Collins,,i2158780a,06/24/2016
Birdman [DVD] : or (the unexpected virtue of ignorance),,i2140362a,06/24/2016
Enough said [DVD],,i2086442a,06/24/2016
Mad Max. Fury road,,i2163714a,06/24/2016
"Advanced chess : rules, skills, tactics and strategic play, a complete step-by-step guide to mastering the game, with more than 300 practical photographs and artworks","Saunders, John, 1953-",i1851478a,06/03/2016
,,i1273008a,05/28/2016
,,i1273008a,05/28/2016
Ten white geese : a novel,"Bakker, Gerbrand, 1962-",i2042039a,05/28/2016
Summerlong,"Bakopoulos, Dean.",i2154586a,05/28/2016
The green shore,"Bakopoulos, Natalie.",i2006248a,05/28/2016
Summerlong,"Bakopoulos, Dean.",i2154585a,05/28/2016
A lasting impression,"Alexander, Tamera.",i1976194a,05/28/2016
The revenant,,i2198188a,05/02/2016
,,i1829965a,04/04/2016
,,i1502177a,03/30/2016
Red. 2 [DVD],,i2084017a,03/30/2016
"Anthony Bourdain, no reservations. Collection 5, part 1 [videorecording].",,i1946459a,03/30/2016
,,i1839551a,03/30/2016
Furious 7,,i2171696a,03/22/2016
The future of God : a practical approach to spirituality for our times,"Chopra, Deepak.",i2122346a,03/04/2016
How to deliver a TED talk : secrets of the world's most inspiring presentations,"Donovan, Jeremey.",i2095347a,02/23/2016
,,i1769171a,02/23/2016
How to deliver a TED talk : secrets of the world's most inspiring presentations,"Donovan, Jeremey.",i2095347a,02/01/2016
Talk like TED : the 9 public-speaking secrets of the world's top minds,"Gallo, Carmine.",i2138696a,01/19/2016
The Big bang theory. The complete fourth season [DVD],,i2120308a,01/18/2016
The big bang theory. The complete second season [DVD],,i2016984a,01/18/2016
The big bang theory. The complete third season [DVD],,i2016986a,01/07/2016
The big bang theory. The complete first season [DVD],,i2016981a,12/30/2015
The residence : inside the private world of the White House,"Brower, Kate Andersen.",i2153387a,11/24/2015
The newsroom. The complete second season [DVD],,i2132719a,11/02/2015
The newsroom. The complete first season [DVD],,i2084743a,11/02/2015
Start with why : how great leaders inspire everyone to take action,"Sinek, Simon.",i2039732a,10/19/2015
Game of thrones. The complete first season [DVD],,i2000249a,10/09/2015
The Age of Big Data [videorecording],,i2150455a,10/09/2015
Game of thrones. The complete fourth season [DVD],,i2131961a,09/23/2015
Game of thrones. The complete third season [DVD],,i2085763a,09/23/2015
Game of thrones. The complete second season [DVD],,i2039257a,09/23/2015
"How children succeed : grit, curiosity, and the hidden power of character","Tough, Paul",i2025020a,09/23/2015
,,i1598746a,09/23/2015
The smartest kids in the world : and how they got that way,"Ripley, Amanda.",i2071250a,09/23/2015
The death and life of the great American school system : how testing and choice are undermining education,"Ravitch, Diane.",i1892458a,09/23/2015
,,i1530701a,08/07/2015
On immunity : an inoculation,"Biss, Eula.",i2132372a,07/27/2015
Improve your chess in 7 days,"Lane, Gary.",i1682718a,07/15/2015
,,i1530701a,07/15/2015
,,i1373723a,07/15/2015
"Elliott's chess school. Level 1, Pawn level [videorecording].",,i1941009a,07/15/2015
Bobby Fischer against the world [videorecording],,i1980625a,07/15/2015
On immunity : an inoculation,"Biss, Eula.",i2132372a,07/08/2015
,,i1787845a,07/06/2015
Salt water taffy : the seaside adventures of Jack and Benny,"Loux, Matthew.",i1872309a,07/06/2015
,,i1787916a,07/06/2015
Attack of the 50 foot girl!,"Parker, Jeff, 1966-",i2153692a,07/06/2015
,,i2111149a,07/03/2015
,,i2111149a,07/03/2015
,,i1628294a,06/25/2015
What if? : serious scientific answers to absurd hypothetical questions,"Munroe, Randall.",i2115193a,06/23/2015
The magic of reality : how we know what's really true,"Dawkins, Richard, 1941-",i1971906a,06/23/2015
"Hyperbole and a half : unfortunate situations, flawed coping mechanisms, mayhem, and other things that happened","Brosh, Allie.",i2081211a,06/23/2015
Homeland. The complete third season [DVD],,i2112786a,06/11/2015
,,i1650294a,06/10/2015
All the light we cannot see : a novel,"Doerr, Anthony, 1973-",i2126648a,05/26/2015
"20,000 leagues under the sea : Jules Verne's classic tale","Miller, Ron, 1947-",i1786853a,05/26/2015
,,i1613669a,05/26/2015
"20,000 leagues under the sea : Jules Verne's classic tale","Miller, Ron, 1947-",i1786853a,05/26/2015
"The world atlas of coffee : from beans to brewing : coffees explored, explained and enjoyed","Hoffmann, James.",i2145499a,05/20/2015
,,i1905019a,05/20/2015
Team of rivals : the political genius of Abraham Lincoln,"Goodwin, Doris Kearns.",i2031446a,05/20/2015
,,i1905019a,05/08/2015
"The world atlas of coffee : from beans to brewing : coffees explored, explained and enjoyed","Hoffmann, James.",i2145499a,05/08/2015
,,i1812703a,04/07/2015
,,i1396507a,04/07/2015
,,i1818572a,04/07/2015
You will be my friend!,"Brown, Peter, 1979-",i1967711a,04/06/2015
Mr. Tiger goes wild,"Brown, Peter, 1979-",i2065967a,04/06/2015
,,i1776649a,04/06/2015
Clifford's first snow day,"Bridwell, Norman.",i1776687a,04/06/2015
Biscuit takes a walk,"Capucilli, Alyssa Satin, 1957-",i1907105a,04/06/2015
Small pig,"Lobel, Arnold.",i1782800a,04/06/2015
,,i1396507a,04/06/2015
Manners time,"Verdick, Elizabeth.",i1882583a,04/06/2015
,,i1818572a,04/06/2015
Dark witch,"Roberts, Nora.",i2073699a,04/06/2015
Hearts and hooves,"Fox, Jennifer, 1976-",i2108340a,04/06/2015
,,i1812703a,04/06/2015
,,i1810227a,04/06/2015
,,i1609205a,04/06/2015
,,i1657336a,04/06/2015
Liberty's torch : the great adventure to build the Statue of Liberty,"Mitchell, Elizabeth, 1966-",i2108555a,04/06/2015
A son of the circus,"Irving, John, 1942-",i1755908a,04/06/2015
W is for wasted,"Grafton, Sue, 1940-2017.",i2070626a,04/06/2015
You will be my friend!,"Brown, Peter, 1979-",i1967711a,04/06/2015
Mr. Tiger goes wild,"Brown, Peter, 1979-",i2065967a,04/06/2015
,,i1776649a,04/06/2015
Clifford's first snow day,"Bridwell, Norman.",i1776687a,04/06/2015
Biscuit takes a walk,"Capucilli, Alyssa Satin, 1957-",i1907105a,04/06/2015
Small pig,"Lobel, Arnold.",i1782800a,04/06/2015
,,i1396507a,04/06/2015
Manners time,"Verdick, Elizabeth.",i1882583a,04/06/2015
,,i1818572a,04/06/2015
Dark witch,"Roberts, Nora.",i2073699a,04/06/2015
Hearts and hooves,"Fox, Jennifer, 1976-",i2108340a,04/06/2015
,,i1812703a,04/06/2015
,,i1810227a,04/06/2015
,,i1609205a,04/06/2015
,,i1657336a,04/06/2015
Liberty's torch : the great adventure to build the Statue of Liberty,"Mitchell, Elizabeth, 1966-",i2108555a,04/06/2015
A son of the circus,"Irving, John, 1942-",i1755908a,04/06/2015
W is for wasted,"Grafton, Sue, 1940-2017.",i2070626a,04/06/2015
You will be my friend!,"Brown, Peter, 1979-",i1967711a,04/06/2015
Mr. Tiger goes wild,"Brown, Peter, 1979-",i2065967a,04/06/2015
,,i1776649a,04/06/2015
Clifford's first snow day,"Bridwell, Norman.",i1776687a,04/06/2015
Biscuit takes a walk,"Capucilli, Alyssa Satin, 1957-",i1907105a,04/06/2015
Small pig,"Lobel, Arnold.",i1782800a,04/06/2015
,,i1396507a,04/06/2015
Manners time,"Verdick, Elizabeth.",i1882583a,04/06/2015
,,i1818572a,04/06/2015
Dark witch,"Roberts, Nora.",i2073699a,04/06/2015
Hearts and hooves,"Fox, Jennifer, 1976-",i2108340a,04/06/2015
,,i1812703a,04/06/2015
,,i1810227a,04/06/2015
,,i1609205a,04/06/2015
,,i1657336a,04/06/2015
Liberty's torch : the great adventure to build the Statue of Liberty,"Mitchell, Elizabeth, 1966-",i2108555a,04/06/2015
A son of the circus,"Irving, John, 1942-",i1755908a,04/06/2015
W is for wasted,"Grafton, Sue, 1940-2017.",i2070626a,04/06/2015
You will be my friend!,"Brown, Peter, 1979-",i1967711a,04/06/2015
Mr. Tiger goes wild,"Brown, Peter, 1979-",i2065967a,04/06/2015
,,i1776649a,04/06/2015
Clifford's first snow day,"Bridwell, Norman.",i1776687a,04/06/2015
Biscuit takes a walk,"Capucilli, Alyssa Satin, 1957-",i1907105a,04/06/2015
Small pig,"Lobel, Arnold.",i1782800a,04/06/2015
,,i1396507a,04/06/2015
Manners time,"Verdick, Elizabeth.",i1882583a,04/06/2015
,,i1818572a,04/06/2015
Dark witch,"Roberts, Nora.",i2073699a,04/06/2015
Hearts and hooves,"Fox, Jennifer, 1976-",i2108340a,04/06/2015
,,i1812703a,04/06/2015
,,i1810227a,04/06/2015
,,i1609205a,04/06/2015
,,i1657336a,04/06/2015
Liberty's torch : the great adventure to build the Statue of Liberty,"Mitchell, Elizabeth, 1966-",i2108555a,04/06/2015
A son of the circus,"Irving, John, 1942-",i1755908a,04/06/2015
W is for wasted,"Grafton, Sue, 1940-2017.",i2070626a,04/06/2015
You will be my friend!,"Brown, Peter, 1979-",i1967711a,04/06/2015
Mr. Tiger goes wild,"Brown, Peter, 1979-",i2065967a,04/06/2015
,,i1776649a,04/06/2015
Clifford's first snow day,"Bridwell, Norman.",i1776687a,04/06/2015
Biscuit takes a walk,"Capucilli, Alyssa Satin, 1957-",i1907105a,04/06/2015
Small pig,"Lobel, Arnold.",i1782800a,04/06/2015
,,i1396507a,04/06/2015
Manners time,"Verdick, Elizabeth.",i1882583a,04/06/2015
,,i1818572a,04/06/2015
Dark witch,"Roberts, Nora.",i2073699a,04/06/2015
Hearts and hooves,"Fox, Jennifer, 1976-",i2108340a,04/06/2015
,,i1812703a,04/06/2015
,,i1810227a,04/06/2015
,,i1609205a,04/06/2015
,,i1657336a,04/06/2015
Liberty's torch : the great adventure to build the Statue of Liberty,"Mitchell, Elizabeth, 1966-",i2108555a,04/06/2015
A son of the circus,"Irving, John, 1942-",i1755908a,04/06/2015
W is for wasted,"Grafton, Sue, 1940-2017.",i2070626a,04/06/2015
You will be my friend!,"Brown, Peter, 1979-",i1967711a,04/06/2015
Mr. Tiger goes wild,"Brown, Peter, 1979-",i2065967a,04/06/2015
,,i1776649a,04/06/2015
Clifford's first snow day,"Bridwell, Norman.",i1776687a,04/06/2015
Biscuit takes a walk,"Capucilli, Alyssa Satin, 1957-",i1907105a,04/06/2015
Small pig,"Lobel, Arnold.",i1782800a,04/06/2015
,,i1396507a,04/06/2015
Manners time,"Verdick, Elizabeth.",i1882583a,04/06/2015
,,i1818572a,04/06/2015
Dark witch,"Roberts, Nora.",i2073699a,04/06/2015
Hearts and hooves,"Fox, Jennifer, 1976-",i2108340a,04/06/2015
,,i1812703a,04/06/2015
,,i1810227a,04/06/2015
,,i1609205a,04/06/2015
,,i1657336a,04/06/2015
Liberty's torch : the great adventure to build the Statue of Liberty,"Mitchell, Elizabeth, 1966-",i2108555a,04/06/2015
A son of the circus,"Irving, John, 1942-",i1755908a,04/06/2015
W is for wasted,"Grafton, Sue, 1940-2017.",i2070626a,04/06/2015
You will be my friend!,"Brown, Peter, 1979-",i1967711a,04/06/2015
Mr. Tiger goes wild,"Brown, Peter, 1979-",i2065967a,04/06/2015
,,i1776649a,04/06/2015
Clifford's first snow day,"Bridwell, Norman.",i1776687a,04/06/2015
Biscuit takes a walk,"Capucilli, Alyssa Satin, 1957-",i1907105a,04/06/2015
Small pig,"Lobel, Arnold.",i1782800a,04/06/2015
,,i1396507a,04/06/2015
Manners time,"Verdick, Elizabeth.",i1882583a,04/06/2015
,,i1818572a,04/06/2015
Dark witch,"Roberts, Nora.",i2073699a,04/06/2015
Hearts and hooves,"Fox, Jennifer, 1976-",i2108340a,04/06/2015
,,i1812703a,04/06/2015
,,i1810227a,04/06/2015
,,i1609205a,04/06/2015
,,i1657336a,04/06/2015
Liberty's torch : the great adventure to build the Statue of Liberty,"Mitchell, Elizabeth, 1966-",i2108555a,04/06/2015
A son of the circus,"Irving, John, 1942-",i1755908a,04/06/2015
W is for wasted,"Grafton, Sue, 1940-2017.",i2070626a,04/06/2015
Jack,"DePaola, Tomie, 1934-2020.",i2116802a,04/01/2015
The promise,"Davies, Nicola, 1958-",i2122021a,04/01/2015
"Preserving local writers, genealogy, photographs, newspapers, and related materials",,i2022614a,04/01/2015
Gentlemen scientists and revolutionaries : the founding fathers in the age of enlightenment,"Shachtman, Tom, 1942-",i2133908a,04/01/2015
Jack,"DePaola, Tomie, 1934-2020.",i2116802a,04/01/2015
The promise,"Davies, Nicola, 1958-",i2122021a,04/01/2015
"Preserving local writers, genealogy, photographs, newspapers, and related materials",,i2022614a,04/01/2015
Gentlemen scientists and revolutionaries : the founding fathers in the age of enlightenment,"Shachtman, Tom, 1942-",i2133908a,04/01/2015
Jack,"DePaola, Tomie, 1934-2020.",i2116802a,04/01/2015
The promise,"Davies, Nicola, 1958-",i2122021a,04/01/2015
"Preserving local writers, genealogy, photographs, newspapers, and related materials",,i2022614a,04/01/2015
Gentlemen scientists and revolutionaries : the founding fathers in the age of enlightenment,"Shachtman, Tom, 1942-",i2133908a,04/01/2015
Jack,"DePaola, Tomie, 1934-2020.",i2116802a,04/01/2015
The promise,"Davies, Nicola, 1958-",i2122021a,04/01/2015
"Preserving local writers, genealogy, photographs, newspapers, and related materials",,i2022614a,04/01/2015
Gentlemen scientists and revolutionaries : the founding fathers in the age of enlightenment,"Shachtman, Tom, 1942-",i2133908a,04/01/2015
Jack,"DePaola, Tomie, 1934-2020.",i2116802a,04/01/2015
The promise,"Davies, Nicola, 1958-",i2122021a,04/01/2015
"Preserving local writers, genealogy, photographs, newspapers, and related materials",,i2022614a,04/01/2015
Gentlemen scientists and revolutionaries : the founding fathers in the age of enlightenment,"Shachtman, Tom, 1942-",i2133908a,04/01/2015
Jack,"DePaola, Tomie, 1934-2020.",i2116802a,04/01/2015
